StrikerName,TeamCode,TeamName,Nationality,Matches,Innings,TotalRuns,HighestScore,BattingAverage,StrikeRate,Centuries,FiftyPlusRuns,Fours,Sixes
Andre Russell,KKR,Kolkata Knight Riders,Overseas,13,10,167,57*,18.56,163.72,0,1,16,14
Abdul Samad,LSG,Lucknow Super Giants,Indian,13,12,164,45,20.50,176.34,0,0,8,14
Marcus Stoinis,PBKS,Punjab Kings,Overseas,13,11,160,44*,26.67,186.04,0,0,8,15
Devon Conway,CSK,Chennai Super Kings,Overseas,6,6,156,69,26.00,131.09,0,2,17,4
David Miller,LSG,Lucknow Super Giants,Overseas,11,11,153,27*,30.60,127.5,0,0,13,4
Quinton De Kock,KKR,Kolkata Knight Riders,Overseas,8,8,152,97*,21.71,129.91,0,1,9,11
Vipraj Nigam,DC,Delhi Capitals,Indian,14,8,142,39,20.29,179.74,0,0,15,8
Venkatesh Iyer,KKR,Kolkata Knight Riders,Indian,11,7,142,60,20.29,139.21,0,1,15,4
Washington Sundar,GT,Gujarat Titans,Indian,6,5,133,49,26.60,166.25,0,0,10,7
Ruturaj Gaikwad,CSK,Chennai Super Kings,Indian,5,5,122,63,24.40,150.61,0,2,14,4
Sameer Rizvi,DC,Delhi Capitals,Indian,5,4,121,58*,40.33,153.16,0,1,11,7
Vijay Shankar,CSK,Chennai Super Kings,Indian,6,5,118,69*,39.33,129.67,0,1,8,3
Sam Curran,CSK,Chennai Super Kings,Overseas,5,5,114,88,22.80,135.71,0,1,11,4
Liam Livingstone,RCB,Royal Challengers Bengaluru,Overseas,10,8,112,54,16.00,133.33,0,1,4,9
Krunal Pandya,RCB,Royal Challengers Bengaluru,Indian,15,7,109,73*,18.17,126.74,0,1,9,4
Shubham Dubey,RR,Rajasthan Royals,Indian,9,8,106,34*,26.50,160.6,0,0,6,8
Rahul Tewatia,GT,Gujarat Titans,Indian,15,12,99,24*,12.38,167.79,0,0,6,7
Pat Cummins,SRH,Sunrisers Hyderabad,Overseas,14,9,97,22*,24.25,167.24,0,0,6,7
Mayank Agarwal,RCB,Royal Challengers Bengaluru,Indian,4,4,95,41*,31.67,148.43,0,0,10,2
Manish Pandey,KKR,Kolkata Knight Riders,Indian,3,3,92,37,46.00,141.53,0,0,5,5
Kamindu Mendis,SRH,Sunrisers Hyderabad,Overseas,5,5,92,32*,30.67,133.33,0,0,7,2
