player_id,name,team_id,country_id
P0164,Mukesh Kumar,T007,C001
P0165,Jaydev Unadkat,T008,C001
P0166,Ashwani Kumar,T002,C001
P0167,Suyash Sharma,T003,C001
P0168,Vignesh Puthur,T002,C001
P0169,Zeeshan Ansari,T008,C001
P0170,William O Rourke,T004,C006
P0171,Kyle Jamieson,T005,C006
P0172,Harsh Dubey,T008,C001
P0173,Mustafizur Rahman,T007,C009
P0174,Akash Singh,T004,C001
P0175,Lungisani Ngidi,T003,C004
P0176,Vyshak Vijaykumar,T005,C001
P0177,Ishant Sharma,T001,C001
P0178,Yudhvir Singh Charak,T006,C001
P0179,M Siddharth,T004,C001
P0180,Adam Zampa,T008,C002
P0181,Mayank Yadav,T004,C001
P0182,Nuwan Thushara,T003,C007
P0183,Anukul Roy,T009,C001
P0184,Nathan Ellis,T010,C002
P0185,Kulwant Khejroliya,T001,C001
P0186,Pravin Dubey,T005,C001
P0187,Richard Gleeson,T002,C003
P0188,Rasikh Dar,T003,C001
P0189,Mukesh Choudhary,T010,C001
P0190,Anrich Nortje,T009,C002
P0191,Yash Thakur,T005,C001
P0192,Musheer Khan,T005,C001
P0193,Mujeeb-ur-Rahman,T002,C008
