player_id,matches,innings,runs,highest_score,average,strike_rate,centuries,fifties,fours,sixes
P0114,1,1,13,13,13,144.44,0,0,3,0
P0115,11,3,13,13,6.5,81.25,0,0,0,2
P0116,8,2,11,7*,11,84.61,0,0,0,1
P0117,4,1,11,11,11,73.33,0,0,1,0
P0118,9,4,10,6*,10,100,0,0,1,0
P0119,6,3,10,8*,-,71.42,0,0,0,0
P0120,11,4,10,5,5,37.03,0,0,0,0
P0121,4,2,9,7*,9,112.5,0,0,0,1
P0122,3,1,9,9,9,112.5,0,0,1,0
P0123,1,1,9,9,9,81.81,0,0,1,0
P0124,11,5,9,4,1.8,60,0,0,0,0
P0125,2,1,8,8*,-,400,0,0,2,0
P0126,3,1,8,8*,-,200,0,0,0,0
P0127,10,4,7,3,7,87.5,0,0,0,0
P0128,5,3,7,4,2.33,63.63,0,0,0,0
P0129,14,6,7,2*,1.75,41.17,0,0,0,0
P0130,6,2,6,6*,6,300,0,0,0,1
P0131,10,1,6,6*,-,120,0,0,0,0
P0132,11,6,6,2*,3,60,0,0,0,0
P0133,2,2,6,3,3,40,0,0,0,0
P0134,2,1,5,5,5,100,0,0,1,0
P0135,15,3,5,3,1.67,50,0,0,0,0
P0136,6,2,5,4*,-,50,0,0,0,0
P0137,6,2,5,5,2.5,35.71,0,0,0,0
P0138,4,1,4,4*,-,400,0,0,1,0
P0139,15,3,4,3,2,50,0,0,0,0
P0140,4,1,4,4*,-,44.44,0,0,0,0
P0141,1,1,3,3,3,75,0,0,0,0
P0142,15,1,3,3*,-,75,0,0,0,0
P0143,4,2,3,2,1.5,60,0,0,0,0
P0144,4,3,3,3*,1.5,42.85,0,0,0,0
P0145,5,1,2,2*,-,100,0,0,0,0
P0146,16,2,2,1*,2,66.66,0,0,0,0
P0147,4,2,2,1*,-,50,0,0,0,0
P0148,17,2,2,1*,2,33.33,0,0,0,0
P0149,13,1,1,1*,-,100,0,0,0,0
P0150,2,1,1,1*,-,100,0,0,0,0
P0151,6,1,1,1*,-,100,0,0,0,0
P0152,14,2,1,1*,-,50,0,0,0,0
P0153,8,2,1,1*,1,33.33,0,0,0,0
P0154,1,1,1,1,1,33.33,0,0,0,0
P0155,13,2,1,1,1,33.33,0,0,0,0
P0156,1,1,1,1,1,25,0,0,0,0
